file_name,movie_name,audience_rating,rating_key,year
G:\movies\Bumblebee (2018)\Bumblebee.2018.iNTERNAL.1080p.BluRay.CRF.x264-SPRiNTER.mkv,Transformers 6,7.7,87978,2018
F:\Movies\Trick.or.Treat.Scooby-Doo.2022.1080p.WEBRip.DD5.1.X.264-EVO\Trick.or.Treat.Scooby-Doo.2022.1080p.WEBRip.DD5.1.X.264-EVO.mkv,Trick or Treat Scooby-Doo!,5.8,137292,2022
G:\movies\Trick or Treat Scooby-Doo! (2022)\Trick.or.Treat.Scooby-Doo.2022.1080p.WEBRip.DD5.1.X.264-EVO.mkv,Trick or Treat Scooby-Doo!,5.8,137292,2022
G:\movies\Triple.Frontier.2019.1080p.NF.WEB-DL.DDP5.1.H264-CMRG\Triple.Frontier.2019.1080p.NF.WEB-DL.DDP5.1.H264-CMRG.mkv,Triple Frontier,6.4,108071,2019
G:\movies\Trollhunters.Rise.of.the.Titans.2021.1080p.NF.WEB-DL.DDP5.1.Atmos.x264-EVO.mkv,Trollhunters: Rise of the Titans,6.7,132822,2021
G:\movies\True Lies (1994)\True.Lies.1994.1080p.Bootleg.BluRay.H264.DTS.HD.MA.5.1.Will1869.mp4,True Lies,7.2,122115,1994
F:\Movies\True.Spirit.2023.1080p.WEB.h264-TRUFFLE\True.Spirit.2023.1080p.WEB.h264-TRUFFLE.mkv,True Spirit,6.8,145977,2023
F:\Movies\True.Spirit.2023.WEB-DL.1080p.DUAL.H.264-HDM.mkv,True Spirit,6.8,145977,2023
F:\Movies\True Spirit 2023 WEB 1080p AVC MULTi AAC LC DPL 5.1 - EFPG\Movie\True Spirit 2023 WEB 1080p AVC MULTi AAC LC DPL 5.1 - EFPG.mkv,True Spirit,6.8,145977,2023
G:\movies\True Spirit (2023)\True.Spirit.2023.1080p.WEB.h264-TRUFFLE.mkv,True Spirit,6.8,145977,2023
G:\movies\Trumbo.2015.720p.BluRay.x264-Replic\rep-trumbo.720p.bluray.x264.mkv,Trumbo,7.5,47490,2015
G:\movies\Tulip.Fever.2017.720p.BluRay.x264-DRONES\tulip.fever.2017.720p.bluray.x264-drones.mkv,Tulip Fever,6.2,47256,2017
G:\movies\Turning.Red.2022.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-CMRG\Turning.Red.2022.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-CMRG.mkv,Turning Red,7.0,149547,2022
